Wind speed,Linear,Nonlinear,IMF1+IMF2,Linear_Subseries,Nonlinear(t-1),Nonlinear(t-2),Nonlinear(t-3),Nonlinear(t-4),Linear_Pred,Nonlinear_Pred,y(t-1),y(t-2),y(t-3),y(t-4),Linear_Subseries_Pred
5.580 ,5.609 ,-0.031 ,0.025 ,5.553 ,0.132 ,-0.203 ,0.239 ,-0.176 ,5.685 ,-0.035 ,5.660 ,5.216 ,5.672 ,5.311 ,5.550 
5.600 ,5.652 ,-0.048 ,0.038 ,5.566 ,-0.031 ,0.132 ,-0.203 ,0.239 ,5.526 ,-0.022 ,5.578 ,5.660 ,5.216 ,5.672 ,5.565 
5.790 ,5.621 ,0.172 ,0.202 ,5.591 ,-0.048 ,-0.031 ,0.132 ,-0.203 ,5.771 ,0.075 ,5.604 ,5.578 ,5.660 ,5.216 ,5.590 
5.310 ,5.511 ,-0.205 ,-0.322 ,5.628 ,0.172 ,-0.048 ,-0.031 ,0.132 ,5.472 ,-0.178 ,5.793 ,5.604 ,5.578 ,5.660 ,5.629 
5.580 ,5.449 ,0.136 ,-0.090 ,5.674 ,-0.205 ,0.172 ,-0.048 ,-0.031 ,5.410 ,0.109 ,5.306 ,5.793 ,5.604 ,5.578 ,5.672 
5.520 ,5.519 ,0.004 ,-0.206 ,5.729 ,0.136 ,-0.205 ,0.172 ,-0.048 ,5.526 ,-0.009 ,5.585 ,5.306 ,5.793 ,5.604 ,5.727 
5.720 ,5.740 ,-0.016 ,-0.068 ,5.792 ,0.004 ,0.136 ,-0.205 ,0.172 ,5.645 ,-0.059 ,5.523 ,5.585 ,5.306 ,5.793 ,5.789 
5.930 ,6.028 ,-0.094 ,0.071 ,5.863 ,-0.016 ,0.004 ,0.136 ,-0.205 ,5.978 ,-0.035 ,5.724 ,5.523 ,5.585 ,5.306 ,5.861 
6.550 ,6.296 ,0.252 ,0.605 ,5.942 ,-0.094 ,-0.016 ,0.004 ,0.136 ,6.249 ,0.146 ,5.934 ,5.724 ,5.523 ,5.585 ,5.940 
6.200 ,6.420 ,-0.220 ,0.170 ,6.030 ,0.252 ,-0.094 ,-0.016 ,0.004 ,6.468 ,-0.201 ,6.547 ,5.934 ,5.724 ,5.523 ,6.028 
6.510 ,6.459 ,0.046 ,0.378 ,6.127 ,-0.220 ,0.252 ,-0.094 ,-0.016 ,6.364 ,0.041 ,6.200 ,6.547 ,5.934 ,5.724 ,6.124 
6.630 ,6.481 ,0.153 ,0.397 ,6.237 ,0.046 ,-0.220 ,0.252 ,-0.094 ,6.562 ,0.089 ,6.505 ,6.200 ,6.547 ,5.934 ,6.234 
6.380 ,6.492 ,-0.113 ,0.019 ,6.360 ,0.153 ,0.046 ,-0.220 ,0.252 ,6.469 ,-0.152 ,6.634 ,6.505 ,6.200 ,6.547 ,6.357 
6.450 ,6.474 ,-0.027 ,-0.052 ,6.499 ,-0.113 ,0.153 ,0.046 ,-0.220 ,6.486 ,-0.039 ,6.379 ,6.634 ,6.505 ,6.200 ,6.496 
6.420 ,6.362 ,0.053 ,-0.234 ,6.649 ,-0.027 ,-0.113 ,0.153 ,0.046 ,6.437 ,0.081 ,6.447 ,6.379 ,6.634 ,6.505 ,6.649 
6.440 ,6.277 ,0.160 ,-0.371 ,6.809 ,0.053 ,-0.027 ,-0.113 ,0.153 ,6.187 ,0.048 ,6.415 ,6.447 ,6.379 ,6.634 ,6.806 
6.220 ,6.454 ,-0.234 ,-0.753 ,6.973 ,0.160 ,0.053 ,-0.027 ,-0.113 ,6.347 ,-0.256 ,6.438 ,6.415 ,6.447 ,6.379 ,6.972 
6.900 ,6.895 ,0.003 ,-0.234 ,7.132 ,-0.234 ,0.160 ,0.053 ,-0.027 ,6.849 ,0.071 ,6.220 ,6.438 ,6.415 ,6.447 ,7.134 
7.610 ,7.298 ,0.312 ,0.332 ,7.277 ,0.003 ,-0.234 ,0.160 ,0.053 ,7.277 ,0.226 ,6.898 ,6.220 ,6.438 ,6.415 ,7.279 
7.290 ,7.554 ,-0.265 ,-0.110 ,7.399 ,0.312 ,0.003 ,-0.234 ,0.160 ,7.403 ,-0.286 ,7.610 ,6.898 ,6.220 ,6.438 ,7.402 
7.940 ,7.905 ,0.038 ,0.458 ,7.485 ,-0.265 ,0.312 ,0.003 ,-0.234 ,7.777 ,-0.018 ,7.288 ,7.610 ,6.898 ,6.220 ,7.490 
8.380 ,8.269 ,0.107 ,0.848 ,7.528 ,0.038 ,-0.265 ,0.312 ,0.003 ,8.409 ,0.087 ,7.943 ,7.288 ,7.610 ,6.898 ,7.536 
8.240 ,8.279 ,-0.042 ,0.716 ,7.521 ,0.107 ,0.038 ,-0.265 ,0.312 ,8.323 ,-0.041 ,8.376 ,7.943 ,7.288 ,7.610 ,7.526 
7.880 ,7.806 ,0.074 ,0.405 ,7.475 ,-0.042 ,0.107 ,0.038 ,-0.265 ,7.930 ,-0.052 ,8.237 ,8.376 ,7.943 ,7.288 ,7.469 
7.100 ,7.196 ,-0.095 ,-0.306 ,7.408 ,0.074 ,-0.042 ,0.107 ,0.038 ,7.261 ,-0.146 ,7.880 ,8.237 ,8.376 ,7.943 ,7.413 
6.960 ,6.926 ,0.030 ,-0.380 ,7.335 ,-0.095 ,0.074 ,-0.042 ,0.107 ,6.893 ,0.052 ,7.101 ,7.880 ,8.237 ,8.376 ,7.335 
7.100 ,6.985 ,0.114 ,-0.175 ,7.273 ,0.030 ,-0.095 ,0.074 ,-0.042 ,7.050 ,0.069 ,6.955 ,7.101 ,7.880 ,8.237 ,7.274 
6.950 ,7.090 ,-0.136 ,-0.282 ,7.235 ,0.114 ,0.030 ,-0.095 ,0.074 ,7.027 ,-0.135 ,7.098 ,6.955 ,7.101 ,7.880 ,7.234 
7.250 ,7.170 ,0.080 ,0.028 ,7.222 ,-0.136 ,0.114 ,0.030 ,-0.095 ,7.080 ,0.041 ,6.954 ,7.098 ,6.955 ,7.101 ,7.227 
7.290 ,7.290 ,0.004 ,0.066 ,7.229 ,0.080 ,-0.136 ,0.114 ,0.030 ,7.307 ,-0.002 ,7.250 ,6.954 ,7.098 ,6.955 ,7.226 
7.380 ,7.410 ,-0.034 ,0.123 ,7.253 ,0.004 ,0.080 ,-0.136 ,0.114 ,7.421 ,-0.019 ,7.295 ,7.250 ,6.954 ,7.098 ,7.252 
7.450 ,7.399 ,0.050 ,0.159 ,7.289 ,-0.034 ,0.004 ,0.080 ,-0.136 ,7.422 ,0.026 ,7.376 ,7.295 ,7.250 ,6.954 ,7.290 
7.240 ,7.286 ,-0.047 ,-0.079 ,7.318 ,0.050 ,-0.034 ,0.004 ,0.080 ,7.274 ,-0.031 ,7.449 ,7.376 ,7.295 ,7.250 ,7.330 
