Actual,Lower(95%),Upper(95%),Lower(90%),Upper(90%),Lower(85%),Upper(85%)
1.806,1.05,4.248,1.647,3.962,1.738,3.772
1.796,-0.008,4.043,0.168,3.598,0.286,3.302
2.15,-0.029,4.022,0.148,3.578,0.265,3.282
2.298,0.356,2.784,0.826,2.703,1.14,2.649
2.624,0.247,3.975,0.777,3.689,1.13,3.499
1.436,0.84,4.032,1.097,3.948,1.137,3.891
1.021,-0.777,2.623,-0.565,2.063,-0.424,1.982
1.131,-1.041,3.01,-0.865,2.566,-0.747,2.27
1.028,-0.413,2.712,0.192,2.141,0.541,1.81
1.705,-0.4,2.725,0.205,2.154,0.555,1.823
1.019,-0.378,3.491,0.227,3.366,0.585,3.283
1.236,-0.269,2.856,0.336,2.285,0.686,1.954
1.036,-0.41,2.018,0.06,1.937,0.374,1.883
1.781,-0.72,2.681,-0.508,2.12,-0.367,2.039
2.328,0.059,3.786,0.589,3.501,0.942,3.311
1.757,0.506,4.375,1.111,4.25,1.469,4.166
1.925,0.289,3.689,0.501,3.129,0.642,3.048
3.439,0.664,4.715,0.841,4.271,0.958,3.975
3.034,1.908,5.777,2.513,5.652,2.871,5.568
3.529,1.55,5.601,1.726,5.156,1.844,4.86
4.865,1.851,5.251,2.063,4.691,2.204,4.61
4.282,3.203,6.395,3.459,6.31,3.499,6.254
2.988,2.17,5.897,2.699,5.611,3.052,5.421
1.799,0.999,4.617,1.081,4.084,1.135,4.057
1.84,0.513,4.13,0.594,3.598,0.649,3.571
2.213,0.016,3.633,0.097,3.101,0.152,3.074
2.692,-0.138,3.262,0.074,2.701,0.215,2.62
4.209,0.302,4.17,0.907,4.045,1.264,3.962
3.052,1.058,4.25,1.314,4.165,1.354,4.109
0.865,1.346,4.538,1.602,4.453,1.642,4.397
0.769,0.363,3.98,0.444,3.448,0.499,3.421
3.54,1.361,4.979,1.443,4.446,1.497,4.419
5.677,2.775,6.175,2.987,5.615,3.128,5.534
6.627,5.186,8.378,5.443,8.294,5.483,8.237
7.881,5.344,9.213,5.949,9.088,6.307,9.005
7.374,6.608,9.8,6.865,9.716,6.905,9.66
6.939,6.207,9.332,6.812,8.761,7.161,8.43
7.435,5.353,8.971,5.435,8.438,5.489,8.412
7.346,5.314,8.714,5.526,8.153,5.667,8.073
7.327,5.683,8.808,6.288,8.237,6.638,7.906
7.568,5.364,7.792,5.834,7.711,6.148,7.657
7.376,6.036,9.234,6.633,8.948,6.724,8.758
6.604,5.431,9.158,5.961,8.873,6.314,8.682
7.27,4.921,8.972,5.098,8.528,5.216,8.232
7.654,5.411,8.76,5.882,8.189,6.196,7.859
7.487,5.643,9.512,6.248,9.387,6.606,9.304
7.313,5.993,9.191,6.59,8.905,6.681,8.715
6.417,5.364,8.713,5.834,8.142,6.148,7.811
6.856,4.687,8.304,4.768,7.772,4.822,7.745
7.139,4.884,8.284,5.096,7.723,5.237,7.643
7.106,5.237,8.586,5.707,8.015,6.021,7.684
7.443,4.999,8.348,5.469,7.777,5.783,7.446
6.699,5.596,8.788,5.853,8.704,5.893,8.647
6.373,4.626,7.824,5.223,7.538,5.314,7.348
4.839,3.491,7.36,4.096,7.235,4.454,7.152
3.08,2.135,5.535,2.347,4.975,2.488,4.894
4.347,1.222,4.839,1.303,4.307,1.357,4.28
4.076,2.307,5.499,2.563,5.414,2.603,5.358
2.508,1.967,5.159,2.224,5.075,2.264,5.019
3.587,0.548,3.948,0.759,3.387,0.901,3.306
2.948,2.274,5.466,2.531,5.382,2.571,5.325
3.335,2.007,5.132,2.612,4.561,2.962,4.23
3.249,2.133,5.258,2.738,4.687,3.088,4.356
4.837,1.446,5.497,1.623,5.053,1.741,4.757
4.409,2.835,6.027,3.091,5.942,3.132,5.886
2.597,2.543,5.735,2.799,5.65,2.839,5.594
