Actual,PointPrediction,MAE,MSE
1.806 ,1.806 ,0.224 ,0.087 
1.796 ,1.793 ,,
2.150 ,2.093 ,,
2.298 ,2.527 ,,
2.624 ,2.683 ,,
1.436 ,1.572 ,,
1.021 ,1.108 ,,
1.131 ,1.035 ,,
1.028 ,1.141 ,,
1.705 ,1.726 ,,
1.019 ,1.028 ,,
1.236 ,1.170 ,,
1.036 ,1.053 ,,
1.781 ,1.955 ,,
2.328 ,2.172 ,,
1.757 ,1.608 ,,
1.925 ,2.169 ,,
3.439 ,3.234 ,,
3.034 ,2.807 ,,
3.529 ,3.314 ,,
4.865 ,5.185 ,,
4.282 ,4.555 ,,
2.988 ,3.270 ,,
1.799 ,2.112 ,,
1.840 ,1.820 ,,
2.213 ,1.774 ,,
2.692 ,2.688 ,,
4.209 ,4.648 ,,
3.052 ,3.412 ,,
0.865 ,0.772 ,,
0.769 ,0.535 ,,
3.540 ,3.175 ,,
5.677 ,5.292 ,,
6.627 ,5.500 ,,
7.881 ,7.696 ,,
7.374 ,7.258 ,,
6.939 ,7.208 ,,
7.435 ,7.406 ,,
7.346 ,7.166 ,,
7.327 ,7.375 ,,
7.568 ,7.812 ,,
7.376 ,7.228 ,,
6.604 ,6.503 ,,
7.270 ,7.254 ,,
7.654 ,7.752 ,,
7.487 ,7.635 ,,
7.313 ,7.114 ,,
6.417 ,6.390 ,,
6.856 ,6.790 ,,
7.139 ,6.975 ,,
7.106 ,7.029 ,,
7.443 ,7.380 ,,
6.699 ,7.100 ,,
6.373 ,6.334 ,,
4.839 ,4.466 ,,
3.080 ,3.396 ,,
4.347 ,4.639 ,,
4.076 ,3.898 ,,
2.508 ,2.830 ,,
3.587 ,3.564 ,,
2.948 ,2.809 ,,
3.335 ,2.856 ,,
3.249 ,2.981 ,,
4.837 ,5.076 ,,
4.409 ,4.889 ,,
2.597 ,2.375 ,,
1.804 ,1.621 ,,
3.206 ,2.844 ,,
4.499 ,4.429 ,,
5.287 ,4.738 ,,
5.785 ,5.380 ,,
5.553 ,5.516 ,,
5.733 ,6.010 ,,
6.945 ,6.581 ,,
6.200 ,5.917 ,,
7.248 ,7.059 ,,
7.918 ,8.138 ,,
8.099 ,8.033 ,,
6.776 ,6.578 ,,
6.971 ,6.825 ,,
7.343 ,7.431 ,,
7.609 ,7.662 ,,
7.302 ,7.157 ,,
6.964 ,6.757 ,,
7.196 ,7.392 ,,
7.438 ,7.761 ,,
7.321 ,7.343 ,,
6.829 ,6.799 ,,
7.158 ,7.577 ,,
7.905 ,8.335 ,,
7.440 ,7.476 ,,
6.539 ,7.033 ,,
6.286 ,6.527 ,,
6.392 ,6.688 ,,
6.097 ,6.520 ,,
5.502 ,6.037 ,,
5.358 ,5.728 ,,
4.811 ,5.534 ,,
5.348 ,5.414 ,,
5.979 ,6.985 ,,
